#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A1A9F5
#Date Time: 2018-06-28 17:02:46.221
#Sample rate: 1e+08Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 2 V Hyst.: Auto HoldOff: 0 s
#Channel 2: Range: 1 V/div Offset: 0 V

Time (s),Channel 2 (V)
-4.0693963636363635e-05,-1.0392296339862321
-4.0683963636363633e-05,-1.0280486813654428
-4.0673963636363632e-05,-1.0429566181931484
-4.0663963636363637e-05,-1.0131407445377372
-4.0653963636363635e-05,-1.0280486813654428
-4.0643963636363634e-05,-1.0131407445377236
-4.0633963636363632e-05,-1.0392296339862321
-4.0623963636363637e-05,-1.0131407445377354
-4.0613963636363636e-05,-1.1137693181248278
-4.0603963636363634e-05,4.2232720661986196
-4.0593963636363632e-05,4.286630797716426
-4.0583963636363631e-05,4.0816466663349251
-4.0573963636363636e-05,3.2840720460523141
-4.0563963636363634e-05,4.7003260446856316
-4.0553963636363633e-05,2.7362053676336364
-4.0543963636363631e-05,5.0879324022051255
-4.0533963636363636e-05,2.4417736152873877
-4.0523963636363635e-05,5.2705546283458879
-4.0513963636363633e-05,2.3187831364575011
-4.0503963636363632e-05,5.3227324072415358
-4.0493963636363637e-05,2.3113291680450105
-4.0483963636363635e-05,5.2742816125528176
-4.0473963636363634e-05,2.3746878995614473
-4.0463963636363632e-05,5.136383196896416
-4.0453963636363637e-05,2.5610371099091078
-4.0443963636363635e-05,4.9202181128944886
-4.0433963636363634e-05,2.8144720359791622
-4.0423963636363632e-05,4.629513344753966
-4.0413963636363631e-05,3.1312656935687304
-4.0403963636363636e-05,4.3127196871649343
-4.0393963636363634e-05,3.4629672879849442
-4.0383963636363633e-05,3.9661101559204646
-4.0373963636363631e-05,3.8058498350224039
-4.0363963636363636e-05,3.6306815772968632
-4.0353963636363635e-05,4.085373650542218
-4.0343963636363633e-05,3.3697926828116991
-4.0333963636363631e-05,4.3239006397852018
-4.0323963636363637e-05,3.1759895040518726
-4.0313963636363635e-05,4.4692530238559849
-4.0303963636363633e-05,3.0306371199810895
-4.0293963636363632e-05,4.543792707994581
-4.0283963636363637e-05,2.9635514042570721
-4.0273963636363635e-05,4.56242762902923
-4.0263963636363634e-05,2.9672783884632832
-4.0253963636363632e-05,4.5288847711668616
-4.0243963636363631e-05,3.0120021989470827
-4.0233963636363636e-05,4.4245292133728276
-4.0223963636363634e-05,3.1312656935681931
-4.0213963636363633e-05,4.2903577819233556
-4.0203963636363631e-05,3.2766180776388429
-4.0193963636363636e-05,4.1300974610253753
-4.0183963636363635e-05,2.6169418730118839
-4.0173963636363633e-05,-3.4282265106282219
-4.0163963636363631e-05,1.3124974005843941
-4.0153963636363637e-05,-3.2306963476588781
-4.0143963636363635e-05,1.1485100954815495
-4.0133963636363633e-05,-3.1188868214530503
-4.0123963636363632e-05,1.0255196166528668
-4.0113963636363637e-05,-2.9250836426909048
-4.0103963636363635e-05,0.78326564320243097
-4.0093963636363634e-05,-2.5822010956551615
-4.0083963636363632e-05,0.34720849099164652
-4.0073963636363631e-05,-2.1014201329603504
-4.0063963636363636e-05,-0.18947723480624198
-4.0053963636363634e-05,-1.5945502808187697
-4.0043963636363633e-05,-0.74107089743184962
-4.0033963636363631e-05,-1.0690455076417484
-4.0023963636363636e-05,-1.2404867811604403
-4.0013963636363635e-05,-0.59944549756851795
-4.0003963636363633e-05,-1.6541820281296462
-3.9993963636363631e-05,-0.24910898211789981
-3.9983963636363637e-05,-1.9672487015109663
-3.9973963636363635e-05,0.022960864988755561
-3.9963963636363633e-05,-2.1722328328928855
-3.9953963636363632e-05,0.16831324905901704
-3.9943963636363637e-05,-2.2840423590996637
-3.9933963636363635e-05,0.23539896478375311
-3.9923963636363634e-05,-2.2803153748938492
-3.9913963636363632e-05,0.19067515430059573
-3.9903963636363637e-05,-2.1983217223403075
-3.9893963636363636e-05,0.07141165967884272
-3.9883963636363634e-05,-2.0380614014434135
-3.9873963636363632e-05,-0.11866453487457614
-3.9863963636363631e-05,-1.8144423490269741
-3.9853963636363636e-05,-0.37955342935966085
-3.9843963636363634e-05,-1.5460994861286825
-3.9833963636363633e-05,-0.66280422908632419
-3.9823963636363631e-05,-1.2628486864018733
-3.9813963636363636e-05,-0.94232804460620356
-3.9803963636363635e-05,-0.99450582350307482
-3.9793963636363633e-05,-1.1994899548842128
-3.9783963636363632e-05,-0.75597883425987389
-3.9773963636363637e-05,-1.4268359915066244
-3.9763963636363635e-05,-0.57335660812000944
-3.9753963636363634e-05,-1.5833693281979804
-3.9743963636363632e-05,-0.4429121608774671
-3.9733963636363637e-05,-1.6839979017845199
-3.9723963636363636e-05,-0.37582644515273106
-3.9713963636363634e-05,-1.7100867912335929
-3.9703963636363632e-05,-0.36091850832501193
