#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A1A9F5
#Date Time: 2018-06-28 16:52:34.249
#Sample rate: 1e+08Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 2 V Hyst.: Auto HoldOff: 0 s
#Channel 2: Range: 1 V/div Offset: 0 V

Time (s),Channel 2 (V)
-4.0693317307692306e-05,-1.0466836024000916
-4.0683317307692305e-05,-1.0131407445377236
-4.0673317307692303e-05,-1.0466836024000747
-4.0663317307692308e-05,-1.0094137603308109
-4.0653317307692307e-05,-1.0504105866070215
-4.0643317307692305e-05,-1.0056867761238641
-4.0633317307692303e-05,-1.042956618193162
-4.0623317307692309e-05,-1.005686776123881
-4.0613317307692307e-05,-1.1547661444010553
-4.0603317307692305e-05,3.3697926828116991
-4.0593317307692304e-05,4.9090371602736997
-4.0583317307692302e-05,3.6604974509522141
-4.0573317307692307e-05,3.6418625299175735
-4.0563317307692306e-05,4.4431641344074766
-4.0553317307692304e-05,2.9374625148078444
-4.0543317307692303e-05,4.9873038286180957
-4.0533317307692308e-05,2.5051323468051185
-4.0523317307692306e-05,5.2481927231043093
-4.0513317307692304e-05,2.3448720259060094
-4.0503317307692303e-05,5.3190054230346142
-4.0493317307692308e-05,2.3262371048727215
-4.0483317307692306e-05,5.2332847862765899
-4.0473317307692305e-05,2.4939513941832008
-4.0463317307692303e-05,4.9910308128261542
-4.0453317307692308e-05,2.8219260043940078
-4.0443317307692307e-05,4.6518752499955447
-4.0433317307692305e-05,3.2318942671552975
-4.0423317307692304e-05,4.1934561925431817
-4.0413317307692302e-05,3.6903133246076876
-4.0403317307692307e-05,3.7499450719185372
-4.0393317307692306e-05,4.1002815873699365
-4.0383317307692304e-05,3.3474307775701204
-4.0373317307692302e-05,4.4170752449583484
-4.0363317307692308e-05,3.0529990252232886
-4.0353317307692306e-05,4.6183323921331763
-4.0343317307692304e-05,2.9076466411524065
-4.0333317307692303e-05,4.692872076270949
-4.0323317307692308e-05,2.8815577517047219
-4.0313317307692306e-05,4.6518752499955447
-4.0303317307692305e-05,2.9411894990147749
-4.0293317307692303e-05,4.5400657237876514
-4.0283317307692308e-05,3.1200847409480499
-4.0273317307692307e-05,4.3127196871649343
-4.0263317307692305e-05,3.35115776177705
-4.0253317307692304e-05,4.0630117453006394
-4.0243317307692302e-05,3.6008657036414391
-4.0233317307692307e-05,3.8058498350224834
-4.0223317307692306e-05,3.8692085665402898
-4.0213317307692304e-05,3.5710498299859079
-4.0203317307692302e-05,4.0816466663349571
-4.0193317307692308e-05,3.3548847459839806
-4.0183317307692306e-05,2.9896402937048618
-4.0173317307692304e-05,-3.9611852522191811
-4.0163317307692303e-05,1.7597355054156405
-4.0153317307692308e-05,-3.5027661947644253
-4.0143317307692306e-05,1.2379577164478643
-4.0133317307692305e-05,-2.9139026900719118
-4.0123317307692303e-05,0.55964659078664414
-4.0113317307692308e-05,-2.190867753926284
-4.0103317307692307e-05,-0.25283596632404826
-4.0093317307692305e-05,-1.3299344021267552
-4.0083317307692304e-05,-1.1212232865386873
-4.0073317307692302e-05,-0.5174518450166814
-4.0063317307692307e-05,-1.877801080545433
-4.0053317307692306e-05,0.14967832802436815
-4.0043317307692304e-05,-2.4182137905502517
-4.0033317307692302e-05,0.55591960657822626
-4.0023317307692307e-05,-2.7163725271046335
-4.0013317307692306e-05,0.7348148485123438
-4.0003317307692304e-05,-2.768550306001651
-3.9993317307692303e-05,0.71245294326924147
-3.9983317307692308e-05,-2.6381058587575854
-3.9973317307692306e-05,0.48137992244111871
-3.9963317307692305e-05,-2.2952233117215686
-3.9953317307692303e-05,0.060230707058053376
-3.9943317307692308e-05,-1.851712191096055
-3.9933317307692307e-05,-0.44663914508439689
-3.9923317307692305e-05,-1.3075724968851765
-3.9913317307692303e-05,-0.99077883929614496
-3.9903317307692309e-05,-0.81933756577745298
-3.9893317307692307e-05,-1.4827407546108762
-3.9883317307692305e-05,-0.37582644515273106
-3.9873317307692304e-05,-1.8144423490276267
-3.9863317307692302e-05,-0.062759771771520895
-3.9853317307692307e-05,-2.0231534646156941
-3.9843317307692306e-05,0.056503722851123594
-3.9833317307692304e-05,-2.1200550539958689
-3.9823317307692303e-05,0.060230707057100881
-3.9813317307692308e-05,-2.0343344172355313
-3.9803317307692306e-05,-0.070213740184488976
-3.9793317307692305e-05,-1.8964360015800819
-3.9783317307692303e-05,-0.28265183998009497
-3.9773317307692308e-05,-1.6206391702666694
-3.9763317307692307e-05,-0.59199152915465836
-3.9753317307692305e-05,-1.3262074179198253
-3.9743317307692303e-05,-0.90505820253676006
-3.9733317307692309e-05,-1.0019597919168903
-3.9723317307692307e-05,-1.1883090022634235
-3.9713317307692305e-05,-0.72988994481106029
-3.9703317307692304e-05,-1.4566518651623677
-3.9693317307692302e-05,-0.51745184501656782
-3.9683317307692307e-05,-1.6280931386811377
