#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A1A9F5
#Date Time: 2018-06-28 16:07:43.441
#Sample rate: 1e+08Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 2 V Hyst.: Auto HoldOff: 0 s
#Channel 2: Range: 1 V/div Offset: 0 V

Time (s),Channel 2 (V)
-4.0698188976377951e-05,0.98079580616970941
-4.068818897637795e-05,0.95470691672120089
-4.0678188976377948e-05,0.965887869341992
-4.0668188976377953e-05,0.96961485354891841
-4.0658188976377952e-05,0.96961485354892007
-4.064818897637795e-05,0.97706882196277967
-4.0638188976377948e-05,0.97706882196277967
-4.0628188976377954e-05,0.98079580616970774
-4.0618188976377952e-05,0.95470691672120089
-4.060818897637795e-05,0.96961485354892007
-4.0598188976377949e-05,0.98452279037663915
-4.0588188976377947e-05,0.98079580616970941
-4.0578188976377952e-05,0.98079580616970941
-4.0568188976377951e-05,0.96961485354892007
-4.0558188976377949e-05,0.96588786934199033
-4.0548188976377948e-05,0.96216088513507236
-4.0538188976377953e-05,0.98824977458355712
-4.0528188976377951e-05,0.97706882196277967
-4.051818897637795e-05,0.97706882196277967
-4.0508188976377948e-05,0.9807958061697043
-4.0498188976377953e-05,0.96961485354892518
-4.0488188976377952e-05,0.96961485354892007
-4.047818897637795e-05,0.96216088513506048
-4.0468188976377948e-05,0.96588786934199033
-4.0458188976377954e-05,0.97706882196277456
-4.0448188976377952e-05,0.97334183775584981
-4.043818897637795e-05,0.96961485354892007
-4.0428188976377949e-05,0.97706882196277967
-4.0418188976377947e-05,0.97706882196278311
-4.0408188976377952e-05,0.98452279037663915
-4.0398188976377951e-05,0.97706882196277967
-4.0388188976377949e-05,0.97706882196277967
-4.0378188976377948e-05,0.96961485354891841
-4.0368188976377953e-05,0.965887869341992
-4.0358188976377951e-05,0.96588786934199033
-4.034818897637795e-05,0.97706882196277967
-4.0338188976377948e-05,0.965887869341992
-4.0328188976377953e-05,0.96961485354891841
-4.0318188976377952e-05,0.96588786934199033
-4.030818897637795e-05,0.97706882196277967
-4.0298188976377948e-05,0.98079580616970941
-4.0288188976377953e-05,0.95843390092814096
-4.0278188976377952e-05,0.98079580616970941
-4.026818897637795e-05,0.97334183775584981
-4.0258188976377949e-05,0.96588786934199033
-4.0248188976377947e-05,0.97334183775585148
-4.0238188976377952e-05,0.97706882196277967
-4.0228188976377951e-05,0.98079580616970941
-4.0218188976377949e-05,0.97334183775584981
-4.0208188976377947e-05,0.96216088513506726
-4.0198188976377953e-05,0.97706882196277967
-4.0188188976377951e-05,0.97706882196277967
-4.0178188976377949e-05,0.97706882196277967
-4.0168188976377948e-05,0.98079580616970097
-4.0158188976377953e-05,0.96216088513506892
-4.0148188976377951e-05,0.99197675879049874
-4.013818897637795e-05,0.96961485354892007
-4.0128188976377948e-05,0.98079580616970941
-4.0118188976377953e-05,0.96961485354892518
-4.0108188976377952e-05,0.96961485354892007
-4.009818897637795e-05,0.96216088513506048
-4.0088188976377949e-05,0.97706882196277967
-4.0078188976377947e-05,0.97334183775584637
-4.0068188976377952e-05,0.96588786934199033
-4.0058188976377951e-05,0.97706882196277967
-4.0048188976377949e-05,0.96961485354892007
-4.0038188976377947e-05,0.96588786934201065
-4.0028188976377953e-05,1.0106116798251477
-4.0018188976377951e-05,0.96961485354892007
