#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A1A9F5
#Date Time: 2018-06-28 02:53:51.287
#Sample rate: 1e+08Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 2 V Hyst.: Auto HoldOff: 0 s
#Channel 2: Range: 1 V/div Offset: 0 V

Time (s),Channel 2 (V)
-4.0693274336283187e-05,-1.024321697158513
-4.0683274336283186e-05,-1.0205947129515833
-4.0673274336283184e-05,-1.0056867761238693
-4.0663274336283189e-05,-1.0168677287446484
-4.0653274336283188e-05,-1.024321697158513
-4.0643274336283186e-05,-1.0317756655723727
-4.0633274336283185e-05,-1.0355026497793023
-4.062327433628319e-05,-1.0466836024000865
-4.0613274336283188e-05,-0.96096296564070671
-4.0603274336283187e-05,5.4009990755884303
-4.0593274336283185e-05,3.1834434724652105
-4.0583274336283183e-05,4.8494054129618176
-4.0573274336283189e-05,2.6393037782534625
-4.0563274336283187e-05,5.1438371653102752
-4.0553274336283185e-05,2.3560529785267992
-4.0543274336283184e-05,5.3450943124830568
-4.0533274336283189e-05,2.2069736102510347
-4.0523274336283187e-05,5.3674562177260627
-4.0513274336283186e-05,2.2554244049396948
-4.0503274336283184e-05,5.2742816125515022
-4.0493274336283189e-05,2.3821418679766229
-4.0483274336283188e-05,5.1028403390340475
-4.0473274336283186e-05,2.5945799677703052
-4.0463274336283185e-05,4.8866752550321211
-4.045327433628319e-05,2.8293799728078164
-4.0443274336283188e-05,4.6518752499955447
-4.0433274336283187e-05,3.045545056808808
-4.0423274336283185e-05,4.4021673081312489
-4.0413274336283183e-05,3.3287958565358307
-4.0403274336283189e-05,4.1189165084045856
-4.0393274336283187e-05,3.6045926878482755
-4.0383274336283185e-05,3.8543006297125713
-4.0373274336283184e-05,3.8468466612985992
-4.0363274336283189e-05,3.6008657036414577
-4.0353274336283187e-05,4.0555577768867792
-4.0343274336283186e-05,3.3958815722602083
-4.0333274336283184e-05,4.2083641293704801
-4.0323274336283189e-05,3.2840720460527342
-4.0313274336283188e-05,4.3015387345441454
-4.0303274336283186e-05,3.1797164882582809
-4.0293274336283184e-05,4.3611704818550212
-4.028327433628319e-05,3.1349926777756805
-4.0273274336283188e-05,4.3686244502688814
-4.0263274336283186e-05,3.112630772533544
-4.0253274336283185e-05,4.3276276239926537
-4.0243274336283183e-05,3.1722625198449257
-4.0233274336283188e-05,4.2829038135094963
-4.0223274336283187e-05,3.2356212513622271
-4.0213274336283185e-05,4.200910160957041
-4.0203274336283184e-05,3.3101609355011825
-4.0193274336283189e-05,4.1002815873699365
-4.0183274336283187e-05,2.1287069419040821
-4.0173274336283186e-05,-3.4095915895935729
-4.0163274336283184e-05,1.2975894637567393
-4.0153274336283189e-05,-3.1039788846233289
-4.0143274336283188e-05,0.90625612203111383
-4.0133274336283186e-05,-2.7350074481392825
-4.0123274336283184e-05,0.55964659078664414
-4.011327433628319e-05,-2.377216964272689
-4.0103274336283188e-05,0.18322118588673617
-4.0093274336283186e-05,-2.0268804488226246
-4.0083274336283185e-05,-0.19320421901317175
-4.0073274336283183e-05,-1.6243661544737484
-4.0063274336283188e-05,-0.61435343439623713
-4.0053274336283187e-05,-1.1920359864703531
-4.0043274336283185e-05,-1.0653185234347406
-4.0033274336283184e-05,-0.78952169212222489
-4.0023274336283189e-05,-1.4231090072999997
-4.0013274336283187e-05,-0.48390898715369474
-4.0003274336283186e-05,-1.6839979017850844
-3.9993274336283184e-05,-0.25656295053170686
-3.9983274336283189e-05,-1.8591661595100553
-3.9973274336283188e-05,-0.12239151908150592
-3.9963274336283186e-05,-1.9635217173048181
-3.9953274336283184e-05,-0.040397866529050724
-3.994327433628319e-05,-1.9970645751662963
-3.9933274336283188e-05,-0.036670882322120943
-3.9923274336283186e-05,-1.9858836225463967
-3.9913274336283185e-05,-0.073940724391418758
-3.990327433628319e-05,-1.9001629857861813
-3.9893274336283188e-05,-0.17829628218545263
-3.9883274336283187e-05,-1.8181693332345565
-3.9873274336283185e-05,-0.27519787156562697
-3.9863274336283184e-05,-1.6579090123360352
-3.9853274336283189e-05,-0.46900105032597561
-3.9843274336283187e-05,-1.4901947230247357
-3.9833274336283185e-05,-0.62553438701702646
-3.9823274336283184e-05,-1.3112994810918739
-3.9813274336283189e-05,-0.80070264474295827
-3.9803274336283187e-05,-1.1734010654357043
-3.9793274336283186e-05,-0.9684169340545663
-3.9783274336283184e-05,-1.0019597919169885
-3.9773274336283189e-05,-1.1212232865386331
-3.9763274336283188e-05,-0.86033439205360263
-3.9753274336283186e-05,-1.2479407495743
-3.9743274336283185e-05,-0.76343280267342828
-3.973327433628319e-05,-1.3373883705403538
-3.9723274336283188e-05,-0.68143915012097311
-3.9713274336283187e-05,-1.4156550388861402
-3.9703274336283185e-05,-0.64416930805167527
-3.9693274336283183e-05,-1.4380169441273578
-3.9683274336283189e-05,-0.64416930805167527
-3.9673274336283187e-05,-1.4454709125415783
-3.9663274336283185e-05,-0.64044232384474553
-3.9653274336283184e-05,-1.4082010704719516
-3.9643274336283189e-05,-0.68516613432823181
-3.9633274336283187e-05,-1.3709312284029826
-3.9623274336283186e-05,-0.72988994481106029
-3.9613274336283184e-05,-1.3112994810918672
-3.9603274336283189e-05,-0.78579470791524597
-3.9593274336283188e-05,-1.2553947179881595
-3.9583274336283186e-05,-0.83797248681202396
-3.9573274336283185e-05,-1.1994899548842128
-3.956327433628319e-05,-0.90133121832996577
-3.9553274336283188e-05,-1.1324042391594766
-3.9543274336283187e-05,-0.97587090246842589
-3.9533274336283185e-05,-1.0541375708139513
-3.9523274336283183e-05,-1.0429566181931433
-3.9513274336283189e-05,-1.0019597919169343
-3.9503274336283187e-05,-1.0914074128832492
-3.9493274336283185e-05,-0.9684169340545663
-3.9483274336283184e-05,-1.1398582075732346
-3.9473274336283189e-05,-0.91623915515765109
-3.9463274336283187e-05,-1.1398582075733363
-3.9453274336283186e-05,-0.87151534467439196
-3.9443274336283184e-05,-1.1808550338494299
-3.9433274336283189e-05,-0.88642328150224503
-3.9423274336283188e-05,-1.1808550338495638
-3.9413274336283186e-05,-0.88269629729518129
-3.9403274336283185e-05,-1.1734010654357043
-3.939327433628319e-05,-0.89760423412302592
-3.9383274336283188e-05,-1.1696740812287745
-3.9373274336283187e-05,-0.88642328150211114
-3.9363274336283185e-05,-1.143585191780266
-3.9353274336283183e-05,-0.94605502881306724
-3.9343274336283188e-05,-1.1212232865386873
-3.9333274336283187e-05,-0.94232804460605779
-3.9323274336283185e-05,-1.1063153497109683
-3.9313274336283184e-05,-0.9795978866753946
-3.9303274336283189e-05,-1.0653185234347016
-3.9293274336283187e-05,-0.99823280771000455
-3.9283274336283186e-05,-1.0392296339862321
-3.9273274336283184e-05,-1.0168677287446586
-3.9263274336283189e-05,-1.0280486813654377
-3.9253274336283188e-05,-1.0355026497793023
-3.9243274336283186e-05,-1.0131407445377236
-3.9233274336283184e-05,-1.0690455076416705
-3.922327433628319e-05,-0.99823280771003675
-3.9213274336283188e-05,-1.0876804286763193
-3.9203274336283186e-05,-0.99077883929614496
-3.9193274336283185e-05,-1.0839534444693895
-3.9183274336283183e-05,-0.97959788667540815
-3.9173274336283188e-05,-1.0951343970901788
-3.9163274336283187e-05,-0.98705185508921522
-3.9153274336283185e-05,-1.0727724918486001
-3.9143274336283184e-05,-0.96096296564075412
-3.9133274336283189e-05,-1.0653185234347406
-3.9123274336283187e-05,-0.97959788667535563
-3.9113274336283186e-05,-1.0839534444693895
-3.9103274336283184e-05,-0.99077883929617716
-3.9093274336283189e-05,-1.0615915392277786
-3.9083274336283188e-05,-1.009413760330794
-3.9073274336283186e-05,-1.0615915392278108
-3.9063274336283184e-05,-0.99823280771000455
